id,nome,tipo,hp,attacco,difesa,velocità
054,Psyduck,        Water,    50,52,48,55
055,Golduck,        Water,    80,82,78,85
056,Mankey,	        Fighting, 40,80,35,70
057,Primeape,	Fighting, 65,105,60,95
058,Growlithe,	Fire,     55,70,45,60
059,Arcanine,	Fire,     90,110,80,90
060,Poliwag,        Water,    40,50,40,90
061,Poliwhirl,	Water,    65,65,65,90
062,Poliwrath,	Water,    90,95,95,70
063,Abra,	        Psychic,  25,20,15,90
064,Kadabra,        Psychic,  40,35,30,105
065,Alakazam,	Psychic,  55,50,45,120
066,Machop,	        Fighting, 70,80,50,35
067,Machoke,        Fighting, 80,100,70,45
068,Machamp,        Fighting, 90,130,80,55
069,Bellsprout,	Grass,    50,75,35,40
070,Weepinbell,	Grass,    65,90,50,55
071,Victreebel,	Grass,    80,105,65,70
072,Tentacool,	Water,    40,40,35,70
073,Tentacruel,	Water,    80,70,65,100
074,Geodude,        Rock,     40,80,100,20
075,Graveler,	Rock,     55,95,115,35
076,Golem, 	        Rock,     80,120,130,45
077,Ponyta,         Fire,     50,85,55,90
078,Rapidash,	Fire,     65,100,70,105
079,Slowpoke,	Water,    90,65,65,15
080,Slowbro,        Water,    95,75,110,30
081,Magnemite,	Electric, 25,35,70,45
082,Magneton,	Electric, 50,60,95,70
083,Farfetch'd,	Normal,   52,90,55,60
084,Doduo,	        Normal,   35,85,45,75
085,Dodrio,	        Normal,   60,110,70,110
086,Seel,	        Water,    65,45,55,45
087,Dewgong,        Water,    90,70,80,70
088,Grimer,	        Poison,   80,80,50,25
089,Muk,	        Poison,   105,105,75,50
090,Shellder,	Water,    30,65,100,40
091,Cloyster,	Water,    50,95,180,70
092,Gastly,	        Ghost,	  30,35,30,80
093,Haunter,        Ghost,    45,50,45,95
094,Gengar,	        Ghost,    60,65,60,110
095,Onix,	        Rock,     35,45,160,70
096,Drowzee,	        Psychic,  60,48,45,42
097,Hypno,	        Psychic,  85,73,70,67
098,Krabby,	        Water,    30,105,90,50
099,Kingler,        Water,    55,130,115,75
100,Voltorb,        Electric, 40,30,50,100
101,Electrode,	Electric, 60,50,70,150
102,Exeggcute,	Grass,    60,40,80,40
103,Exeggutor,	Grass,    95,95,85,55
104,Cubone,	        Ground,   50,50,95,35
105,Marowak,        Ground,   60,80,110,45
106,Hitmonlee,	Fighting, 50,120,53,87
107,Hitmonchan,	Fighting, 50,105,79,76
108,Lickitung,	Normal,   90,55,75,30
109,Koffing,        Poison,   40,65,95,35
110,Weezing,        Poison,   65,90,120,60
111,Rhyhorn,        Ground,   80,85,95,25
112,Rhydon,	        Ground,   105,130,120,40
113,Chansey,        Normal,   250,5,5,50
114,Tangela,        Grass,    65,55,115,60
115,Kangaskhan,	Normal,   105,125,100,100
116,Horsea,	        Water,    30,40,70,60
117,Seadra,	        Water,    55,65,95,85
118,Goldeen,        Water,    45,67,60,63
119,Seaking,        Water,    80,92,65,68
120,Staryu,	        Water,    30,45,55,85
121,Starmie,        Water,    60,75,85,115
122,Mr. Mime,	Psychic,  40,45,65,90
123,Scyther,        Bug,	  70,110,80,105
124,Jynx,	        Ice,      65,50,35,95
125,Electabuzz,	Electric, 65,83,57,105
126,Magmar,	        Fire,     65,95,57,93
127,Pinsir,	        Bug,      65,125,100,85
128,Tauros,	        Normal,   75,100,95,110
129,Magikarp,	Water,    20,10,55,80
130,Gyarados,	Water,    95,125,79,81
131,Lapras,	        Ice,      130,85,80,60
132,Ditto,	        Normal,   48,48,48,48
133,Eevee,	        Normal,   55,55,50,55
134,Vaporeon,	Water,    130,65,60,65
135,Jolteon,        Electric, 65,65,60,130
136,Flareon,Fire,65,130,60,65
137,Porygon,Normal,65,60,70,40
138,Omanyte,Rock,35,40,100,35
139,Omastar,Rock,70,60,125,55
140,Kabuto,Rock,30,80,90,55
141,Kabutops,Rock,60,115,105,80
142,Aerodactyl,Rock,80,105,65,130
143,Snorlax,Normal,160,110,65,30
144,Articuno,Ice,90,85,100,85
145,Zapdos,Electric,90,90,85,100
146,Moltres,Fire,90,100,90,90
147,Dratini,Dragon,41,64,45,50
148,Dragonair,Dragon,61,84,68,70
149,Dragonite,Dragon,91,134,95,80
150,Mewtwo,Psychic,106,110,90,130
151,Mew,Psychic,100,100,100,100
